id,funded_amount,loan_amount,activity,sector,use,country_code,country,region,currency,partner_id,posted_time,disbursed_time,funded_time,term_in_months,lender_count,tags,borrower_genders,repayment_interval,date
657106,600.0,600.0,Fruits & Vegetables,Food,To buy more vegetables for sale.,RW,Rwanda,,RWF,161.0,2014-01-14 12:56:30+00:00,2013-12-16 08:00:00+00:00,2014-01-14 18:35:31+00:00,6.0,2,,female,irregular,2014-01-14
657136,4000.0,4000.0,Food Production/Sales,Food,"to buy more beans, rice, and maize to sell.",RW,Rwanda,,RWF,161.0,2014-01-14 13:53:13+00:00,2013-12-30 08:00:00+00:00,2014-01-14 22:02:59+00:00,6.0,45,,"female, male, female, female, female, male, female, female, female, female, female, male, male, male, female, female, female, female, female, female",irregular,2014-01-14
657104,600.0,600.0,Food Market,Food,"to buy more rice, sugar, and charcoal to sell.",RW,Rwanda,,RWF,161.0,2014-01-14 12:49:49+00:00,2013-12-16 08:00:00+00:00,2014-01-14 18:38:49+00:00,6.0,2,,female,irregular,2014-01-14
657116,1200.0,1200.0,Construction Supplies,Construction,to buy more glasses for sale.,RW,Rwanda,,RWF,161.0,2014-01-14 13:20:57+00:00,2013-12-16 08:00:00+00:00,2014-01-17 16:52:59+00:00,14.0,46,"#Repeat Borrower, #Biz Durable Asset, #Parent",female,monthly,2014-01-14
657120,600.0,600.0,General Store,Retail,to buy more beans and cooking oil for sale.,RW,Rwanda,,RWF,161.0,2014-01-14 13:26:31+00:00,2013-12-16 08:00:00+00:00,2014-01-14 19:23:00+00:00,6.0,2,,female,irregular,2014-01-14
657165,5325.0,5325.0,Food Market,Food,"To buy more fish, rice, and cooking oil for resale.",RW,Rwanda,,RWF,161.0,2014-01-14 14:53:45+00:00,2013-12-16 08:00:00+00:00,2014-01-15 01:47:36+00:00,6.0,61,,"female, female, female, female, male, female, female, female, female, female, male, female, female, female, female, female, female, female, female, female, female, male, female, female, male",irregular,2014-01-14
657114,450.0,450.0,Food Production/Sales,Food,To buy more beans and cooking oil to sell.,RW,Rwanda,,RWF,161.0,2014-01-14 13:10:42+00:00,2013-12-16 08:00:00+00:00,2014-01-14 19:59:16+00:00,6.0,2,,female,irregular,2014-01-14
657567,600.0,600.0,Food,Food,to buy more bananas to sell.,RW,Rwanda,,RWF,161.0,2014-01-15 15:11:20+00:00,2013-12-19 08:00:00+00:00,2014-01-18 08:01:28+00:00,6.0,3,,female,irregular,2014-01-15
657563,450.0,450.0,Fruits & Vegetables,Food,to buy more potatoes and cassava for sale.,RW,Rwanda,,RWF,161.0,2014-01-15 14:58:52+00:00,2013-12-19 08:00:00+00:00,2014-01-16 01:20:14+00:00,6.0,2,,female,irregular,2014-01-15
657571,450.0,450.0,Food Market,Food,"to purchase potatoes, sugar, and rice for sale",RW,Rwanda,,RWF,161.0,2014-01-15 15:19:30+00:00,2013-12-19 08:00:00+00:00,2014-01-18 08:42:18+00:00,6.0,3,,female,irregular,2014-01-15
657914,525.0,525.0,Cereals,Food,"To buy more maize, beans and sorghum for sale.",RW,Rwanda,,RWF,161.0,2014-01-16 08:41:05+00:00,2013-12-24 08:00:00+00:00,2014-01-16 23:00:18+00:00,6.0,16,,female,irregular,2014-01-16
657956,600.0,600.0,Beverages,Food,To buy more sodas and beers for sale,RW,Rwanda,,RWF,161.0,2014-01-16 09:49:12+00:00,2013-12-24 08:00:00+00:00,2014-01-17 02:29:00+00:00,6.0,13,"volunteer_pick, volunteer_like",female,irregular,2014-01-16
